DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
150,94,3.3,91.34,1010
109,256,4.6,88.97,1011
149,81,4,86.25,1010
105,260,3.9,82.58,1010
136,97,3.5,83.74,1010
79,299,2.2,85.58,1010
101,222,3,88.09,1010
126,206,3.7,84.03,1010
131,114,5.9,84.25,1010
142,122,6.3,89.1,1010
148,196,6.6,81.91,1010
131,225,5.4,85.53,1010
57,382,5.2,80.96,1010
62,372,5,77.18,1010
78,348,4.2,78.5,1010
51,399,3.7,76.57,1010
52,393,2.4,76.35,1010
91,129,1.6,76.87,1010
90,207,1.9,81.4,1010
119,247,2.3,80.96,1010
75,316,3.9,79.08,1010
67,354,3.7,78.85,1011
72,348,3.2,79.32,1014
64,361,3.6,79.59,1010
134,221,3.7,79.86,1010
97,294,4.6,79.81,1010
72,347,3.8,78.89,1011
131,219,2.1,80.78,1010
113,264,1.7,78.89,1010
82,339,3.2,78.03,1010
153,134,3.6,82.57,1010
127,145,3,80.83,1010
114,123,4.3,88.7,1010
94,268,5,87.98,1010
81,320,4.3,82.17,1010
109,278,3.3,80.51,1010
111,223,2.8,86.16,1010
62,364,3.7,84.23,1010
